Season,TeamID,Strength_of_Schedule,Avg_Opponent_OffRtg,Avg_Opponent_DefRtg,total_games_after_100
2021,1174,109.02272109974879,105.72586827546702,112.31957392403055,1
2021,1374,100.4378302767573,96.854042705327259,104.02161784818733,1
2021,1421,99.38222308472497,101.49421128474424,97.2702348847057,1
2007,1152,106.75311234149842,102.21527882604686,111.29094585695,1
2021,1306,99.449120302816013,98.881797299856657,100.01644330577537,2
2021,1200,98.663334537373245,96.698704324692983,100.62796475005351,2
2021,1423,95.6625144027528,94.531122831704238,96.793905973801373,2
2015,1312,100.89926501961817,103.78859987152597,98.009930167710365,2
2014,1312,109.17234712955377,115.5693134674523,102.77538079165524,2
2011,1188,103.84377110574967,107.67070883259487,100.01683337890447,2
2011,1255,100.11949595906486,91.335140509597863,108.90385140853188,2
2010,1366,101.98077985892712,100.11063681546077,103.85092290239348,2
2008,1152,109.71452850567391,105.8846264319113,113.54443057943651,2
2008,1255,109.33127796534706,102.67329652271079,115.98925940798334,2
2008,1342,104.61878503308841,110.73055356040931,98.507016505767538,2
2008,1410,101.49009131970909,98.322215019402663,104.65796762001553,2
2006,1295,104.93576895466278,101.03970668210735,108.8318312272182,2
2005,1366,95.8244254463535,96.513131026988731,95.135719865718272,2
2003,1252,107.93092728140893,104.64812375349024,111.21373080932761,2
2023,1216,106.9956519773006,108.80562400409919,105.185679950502,3
2023,1152,106.77362242975725,107.29925115370216,106.24799370581235,3
2021,1359,105.52772674486971,109.67942085849043,101.37603263124899,3
2021,1339,104.79185232418331,105.08106557632283,104.50263907204379,3
2021,1420,104.77238038254495,105.08165491312195,104.46310585196794,3
2021,1158,104.45017309674871,110.13960059655014,98.7607455969473,3
2021,1439,103.02944350545988,103.38943206428213,102.66945494663763,3
2021,1363,102.32061160898111,103.47334949134701,101.16787372661523,3
2021,1195,101.92507484333946,99.488540038941466,104.36160964773747,3
2021,1187,101.29028447645527,102.13916259887972,100.44140635403082,3
2021,1127,100.91733815475595,98.807979548074286,103.02669676143763,3
2021,1406,100.63461125372486,101.59856132459417,99.670661182855525,3
2021,1401,99.74403684258489,100.73330929760614,98.754764387563625,3
2021,1164,96.330144246724487,90.155694175555169,102.5045943178938,3
2021,1354,91.386774148922157,92.8163152148366,89.957233083007708,3
2012,1303,100.15768379441931,102.15451688051199,98.160850708326635,3
2010,1188,106.88257223047374,106.83917089766564,106.92597356328189,3
2010,1300,100.89120829592957,103.32961913271552,98.4527974591436,3
2008,1312,109.7954568717371,115.78543202582972,103.8054817176445,3
2008,1366,101.55018153651174,107.081427576709,96.0189354963145,3
2008,1300,97.871423407628185,102.08645899751848,93.6563878177379,3
2007,1445,101.27144384692689,105.46587304399357,97.077014649860189,3
2007,1366,100.36838081018259,95.343385457803819,105.39337616256132,3
2003,1147,101.20957900068474,101.08441323023975,101.33474477112975,3
2021,1468,108.14183352233425,109.39482719334228,106.88883985132622,4
2021,1241,107.91835129204736,109.02166573871354,106.8150368453812,4
2021,1220,106.21502524508722,106.43494413498475,105.99510635518968,4
2021,1180,105.04225303294803,106.20289552933153,103.88161053656451,4
2021,1137,104.87300353538329,104.47297628170726,105.27303078905932,4
2021,1239,104.71005017080037,105.9362691168257,103.48383122477506,4
2021,1269,101.18003071881949,103.24735315292205,99.112708284716945,4
2021,1348,100.89562421776789,99.086330633231327,102.70491780230446,4
2021,1409,100.64507486188455,99.1569369634214,102.13321276034769,4
2021,1456,100.13595657457981,101.44816182838719,98.823751320772416,4
2021,1310,95.74981176660674,98.531527169828465,92.968096363385,4
2021,1299,93.627950776440855,90.688504432004933,96.567397120876791,4
2020,1442,106.17508846027971,106.25098576456702,106.09919115599239,4
2020,1152,103.28744253748559,104.17961147948404,102.39527359548715,4
2017,1331,110.97703264591412,112.10332839171814,109.85073690011014,4
2016,1240,107.2225459664682,107.43724380029953,107.00784813263689,4
2016,1184,107.1282864412446,104.10765866318805,110.14891421930116,4
2015,1240,104.95272184545315,103.80737533122698,106.09806835967933,4
2015,1262,100.65850179496336,100.40864367728668,100.90835991264004,4
2014,1404,113.18456984095998,114.49081860125455,111.87832108066542,4
2014,1398,110.61033592332765,113.65598294594396,107.56468890071133,4
2014,1230,107.39558711465368,103.22996306428014,111.56121116502719,4
2014,1101,105.66444428972264,105.64602425715921,105.68286432228608,4
2014,1262,104.02763554520469,101.09119937629595,106.96407171411343,4
2013,1209,106.96952477378051,107.85109433173588,106.08795521582515,4
2013,1303,101.01873043586208,105.72717777303217,96.310283098692,4
2013,1167,100.44121201933697,101.64386741126424,99.238556627409722,4
2013,1406,100.04091754049344,98.392711274763954,101.68912380622292,4
2013,1131,99.477868329742762,100.89398976216636,98.061746897319168,4
2013,1309,96.367555158126009,96.811702496894611,95.9234078193574,4
2011,1366,105.25616790645861,102.92160377623783,107.59073203667941,4
2009,1366,102.15226910824586,101.35632240372794,102.94821581276376,4
2009,1195,102.08704902761539,96.954417248569783,107.219680806661,4
2009,1223,102.0286121749661,104.4582960502629,99.5989282996693,4
2008,1294,106.72436438215956,107.74947631900774,105.6992524453114,4
2008,1186,105.59261873955361,107.56819107399457,103.61704640511266,4
2008,1430,101.40666643185503,95.872604661717133,106.94072820199293,4
2007,1294,107.82425369172927,108.59460719911613,107.05390018434241,4
2007,1186,106.37943827156123,107.01357464984267,105.74530189327979,4
2007,1404,98.567252874228856,97.729998097684728,99.404507650772985,4
2006,1294,107.21082191522945,105.92821530580039,108.49342852465846,4
2006,1394,100.83653844815086,95.28648345495759,106.38659344134415,4
2005,1294,104.10547391285478,107.2565341173751,100.95441370833444,4
2005,1410,101.0737582351928,100.11077398725578,102.03674248312979,4
2005,1394,98.059140993423,94.581972583769343,101.53630940307667,4
2004,1236,104.88294968378301,107.06747298933263,102.69842637823339,4
2004,1410,103.91515390692572,101.93581199232426,105.89449582152722,4
2004,1394,101.19257608353078,105.03018035425831,97.354971812803285,4
2004,1457,98.378410301564372,98.49790779565231,98.258912807476435,4
2003,1366,102.66865778409615,102.69015109080516,102.64716447738714,4
2003,1410,100.96150602549992,95.889041207796765,106.03397084320304,4
2024,1146,112.46911418302234,113.39518529030508,111.54304307573956,5
2024,1468,112.33240114766677,112.30598758753857,112.35881470779493,5
2024,1316,111.50585264651231,112.0634003327294,110.94830496029522,5
2024,1464,109.87901756967494,108.63152452964701,111.12651060970289,5
2024,1244,108.70075988274871,109.16937002092638,108.23214974457105,5
2024,1178,108.67126056258962,114.15173492885157,103.19078619632769,5
2024,1453,108.32585973571777,112.01305080040147,104.6386686710341,5
2024,1237,108.14697016303198,112.21697391298628,104.07696641307766,5
2024,1367,104.14176025278034,102.08124946439739,106.20227104116329,5
2024,1342,103.38417852810944,101.62130526373234,105.14705179248652,5
2024,1399,103.35891032492425,107.10655068144207,99.611269968406432,5
2024,1476,102.28676331665436,103.74424071859058,100.82928591471816,5
2023,1162,105.25392745777404,105.38581992108367,105.12203499446443,5
2023,1217,105.06901225431334,102.75508595253088,107.38293855609582,5
2023,1107,104.8969360891372,103.98427946151001,105.80959271676439,5
2023,1135,104.65861904134871,104.21614608802236,105.10109199467512,5
2023,1171,103.9168085175199,102.56986391840887,105.26375311663088,5
2023,1476,98.515490441832839,97.070615842798844,99.9603650408668,5
2022,1135,103.04130413996704,102.36463653272433,103.71797174720973,5
2022,1162,101.13728176882525,101.14772807222745,101.12683546542304,5
2021,1352,113.14042502416314,116.42372948207785,109.85712056624844,5
2021,1316,109.6542486826193,114.17451407723063,105.13398328800795,5
2021,1460,109.35287677992332,107.91212895139977,110.79362460844689,5
